asset,average,unit,event_type,start_time,end_time
4a17850e-ba5c-4ca1-aae0-c02d85fb6a8f,62.6571621622,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
178ae263-6989-4a2a-8061-0bee0831e9ae,62.1439189189,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
9027c874-3633-4907-adc6-de100f69f94e,63.2805479452,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
e4097c0d-a3a4-4e03-bf41-d1298c59a3c3,63.0806122449,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
1e16720f-50b9-4e5f-85b9-9d1cc2c940a6,62.3312328767,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
022c5cb8-ab69-4a9e-a2e2-5f2f78e3e2b9,63.0585714286,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
72e2719f-2fa5-47c2-babd-d9d5cad25887,62.6875510204,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
0f1abc53-32b8-494a-865a-4d9219847edd,62.5654794521,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
31e80cbf-f6d1-442d-a170-9a8d3801234d,61.6785714286,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
6ed403e4-e8e0-4b6f-828c-651875ca6491,64.5751351351,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
8b5eea6f-bbd2-4595-b3d5-383f5b602030,62.4242857143,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
f4158025-a213-420f-a842-e660e76f8998,62.0525,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
47260516-d554-4695-a719-b13bcbd077b0,62.24,Fahrenheit,TEMPERATURE,02/13/2018 08:00:00,02/14/2018 20:59:59
